CODIGO,nombre,latitud,longitud,DEPARTAMENTO,MUNICIPIO
11107010,DOMINGODO [11107010],7.1781749999999995,-77.03338332999999,Chocó,Carmen Del Darién  (Curbaradó)
29035030,PRESA AY GRANDE [29035030],9.88,-75.33,Bolívar,María La Baja
25027930,COYONGAL [25027930],8.94999722,-74.49,Bolívar,Pinillos
13070390,CIENAGA DE ORO [13070390],8.87,-75.63,Córdoba,Ciénaga De Oro
29030150,SAN CRISTOBAL [29030150],9.87,-75.25,Bolívar,San Jacinto
42057010,YURUPARI [42057010],0.8500000000000001,-71.01,Vaupes,Mitú
42070020,PITUNA [42070020],1.31,-70.29,Vaupes,Mitú
32077080,PUERTO RICO [32077080],2.94,-73.21,Meta,Puerto Rico (Meta)
32070040,PIÑALITO [32070040],2.9761900000000003,-73.67501,Meta,Vistahermosa
29037770,SAN CRISTOBAL [29037770],9.89,-75.25,Bolívar,San Jacinto
35127030,LA ESPERANZA [35127030],3.81,-72.29,Meta,Puerto Gaitán
3505500061,MEDINA - AUT [3505500061],4.51,-73.34999722,Cundinamarca,Medina
24011080,CUCUNUBA1 [24011080],5.25,-73.77,Cundinamarca,Cucunubá
12065501,SOLMAFORO CARTAGENA [12065501],10.42002778,-75.55113889,Bolívar,Cartagena De Indias
35030010,EL CALVARIO [35030010],4.35259,-73.71319,Meta,El Calvario
35180030,FUNDO NUEVO HUMAPO [35180030],4.33,-72.39,Meta,Puerto López
35050010,MEDINA [35050010],4.51,-73.34999722,Cundinamarca,Medina
35035100,ICA VILLAVICENCIO  - AUT [35035100],4.14,-73.62,Meta,Villavicencio
35100020,CABUYARO [35100020],4.28,-72.79,Meta,Cabuyaro
38037010,MATAVEN [38037010],4.54,-67.85999722,Vichada,Cumaribo
38030010,MATAVEN [38030010],4.54999722,-67.86,Vichada,Cumaribo
35220030,OROCUE [35220030],4.79,-71.33,Casanare,Orocué
2319500207,SANTURBAN (EL SALADO),7.3351944399999995,-72.85897222000001,Santander,Vetas
35250030,PUERTO FORTUNA [35250030],6.15,-68.78,Vichada,La Primavera
2634500209,FARALLONES DE CALI (CAMPAMENTO ALTO DEL BUEY),3.40225,-76.68344444,Valle del Cauca,Cali
42077020,MITU [42077020],1.26,-70.24,Vaupes,Mitú
24017620,INFIERNO EL [24017620],5.5885,-73.51255556000001,Boyacá,Sáchica
21037010,PUENTE GARCES [21037010],2.03,-75.78,Huila,Altamira
24037450,MOLINO EL [24037450],5.72263889,-73.12080556000001,Boyacá,Paipa
